date,mean,median
2020-08-26,0.0002317002395933167,0.0
2020-09-02,0.000409734385819719,0.0
2020-09-09,0.0004990981287212395,0.00022620696005674998
2020-09-16,0.0008852077332640771,0.0005002322526995451
2020-09-23,0.0014769290195409278,0.000870697634456561
2020-09-30,0.0024300226644386005,0.0016016894582980704
2020-10-07,0.002444820048579095,0.0019295991674426927
2020-10-14,0.0027350786753152973,0.0024887759902024985
2020-10-21,0.0028726121689453933,0.002577489025032991
2020-10-28,0.0028793183610140794,0.002538818715807042
